TrialID,ID,Mass_kg,LapNum,T_Start_s,T_End_s,Seg_Dur_s,Breaths_In_Seg,First_Breath_In_Station_s,Lap_Time_s,Station_Time_s,CO2_ml_per_kg_min,O2_ml_per_kg_min,ODBA_g
Trial18_24,83H1,141,6,321.865,362.65,40.785,3,347.685,25.82,14.965,12.32201033,16.43699837,0.480946089
Trial18_24,83H1,141,7,362.65,398.405,35.755,2,386.515,23.865,11.89,12.08936706,16.18699364,0.654801292
Trial18_24,83H1,141,8,398.405,431.925,33.52,2,420.99,22.585,10.935,12.75707104,16.95780226,0.632753058
Trial18_34,83H1,141,1,150.815,179.43,28.615,2,174.04,23.225,5.39,2.087879813,2.361505088,0.706789717
Trial18_34,83H1,141,2,179.43,210.995,31.565,3,201.045,21.615,9.95,8.193831708,9.986822194,0.71297241
Trial18_34,83H1,141,3,210.995,242.2675,31.2725,2,233.065,22.07,9.2025,9.884287568,12.74180462,0.628340339
Trial18_34,83H1,141,4,242.2675,273.2,30.9325,2,266.6025,24.335,6.5975,8.98868676,12.19126753,0.655050461
Trial18_34,83H1,141,5,273.2,309.295,36.095,5,292.665,19.465,16.63,11.8788186,14.87210169,0.681182949
Trial18_34,83H1,141,6,309.295,337.0875,27.7925,2,331.815,22.52,5.2725,10.90298737,14.52557804,0.60222988
Trial18_34,83H1,141,7,337.0875,368.6125,31.525,3,358.65,21.5625,9.9625,12.39813049,15.15582027,0.711829681
Trial18_34,83H1,141,8,368.6125,399.415,30.8025,3,389.365,20.7525,10.05,10.11799609,12.67512481,0.733515734
Trial19_02,83H1,146,1,206.835,242.47,35.635,3,229.68,22.845,12.79,5.657820636,6.475471437,0.654707136
Trial19_02,83H1,146,2,242.47,289.535,47.065,5,267.41,24.94,22.125,7.557312897,8.560588751,0.55501909
Trial19_02,83H1,146,3,289.535,330.6375,41.1025,3,314.49,24.955,16.1475,5.278151097,6.253994149,0.540688903
Trial19_02,83H1,146,4,330.6375,368.84,38.2025,4,355.4225,24.785,13.4175,6.378052071,7.734558002,0.554152872
Trial19_02,83H1,146,5,368.84,399.985,31.145,3,389.875,21.035,10.11,7.911734112,9.140190492,0.688889457
Trial19_02,83H1,146,6,399.985,429.71,29.725,3,421.1225,21.1375,8.5875,11.35338779,14.71848105,0.766571751
Trial19_02,83H1,146,7,429.71,460.375,30.665,3,451.0225,21.3125,9.3525,7.106848422,8.881215254,0.758828925
Trial19_02,83H1,146,8,460.375,507.01,46.635,4,480.04,19.665,26.97,8.842203589,10.75622254,0.72674498
Trial19_02,83H1,146,9,507.01,554.3275,47.3175,5,528.4,21.39,25.9275,9.831573508,11.5729432,0.656045423
Trial19_11,83H1,146,1,169.715,214.2975,44.5825,3,196.7175,27.0025,17.58,4.085391943,4.478998071,0.597192244
Trial19_11,83H1,146,2,214.2975,282.02,67.7225,3,242.75,28.4525,39.27,7.00886019,8.46888769,0.412399869
Trial19_11,83H1,146,3,282.02,330.925,48.905,3,308.9625,26.9425,21.9625,6.129300167,6.964579076,0.529957617
Trial19_11,83H1,146,4,330.925,384.2375,53.3125,3,352.7375,21.8125,31.5,7.875764827,9.726573415,0.731504841
Trial19_11,83H1,146,5,384.2375,424.7575,40.52,3,406.8425,22.605,17.915,9.766866354,10.92712545,0.704071848
Trial19_11,83H1,146,6,424.7575,475.7825,51.025,3,446.985,22.2275,28.7975,9.489304867,11.66470908,0.71421479
Trial19_11,83H1,146,7,475.7825,522.7675,46.985,3,497.61,21.8275,25.1575,10.14080565,12.20587742,0.759330754
Trial19_11,83H1,146,8,522.7675,557.255,34.4875,3,542.9775,20.21,14.2775,10.08942092,11.51936129,0.763429273
Trial18_25,9FL3,243,1,160.4575,207.69,47.2325,3,183.86,23.4025,23.83,6.916141781,7.845612687,0.807387735
Trial18_25,9FL3,243,2,207.69,248.4775,40.7875,3,228.73,21.04,19.7475,6.076662013,8.719083779,0.864406386
Trial18_25,9FL3,243,3,248.4775,287.02,38.5425,3,268.3825,19.905,18.6375,8.192335381,12.32950319,0.851356416
Trial18_25,9FL3,243,4,287.02,339.89,52.87,5,308.1075,21.0875,31.7825,10.35804104,14.51125168,0.788023485
Trial18_25,9FL3,243,5,339.89,380.8175,40.9275,3,360.4325,20.5425,20.385,7.956255076,12.1793204,0.853672776
Trial18_25,9FL3,243,6,380.8175,428.165,47.3475,4,400.395,19.5775,27.77,10.67494796,15.22288256,0.984319512
Trial18_25,9FL3,243,7,428.165,467.19,39.025,4,445.5625,17.3975,21.6275,13.90561606,17.88660324,1.112697389
Trial19_01,9FL3,247,1,191.4525,224.255,32.8025,3,211.43,19.9775,12.825,8.37918755,7.174332212,1.024544292
Trial19_01,9FL3,247,2,224.255,262.62,38.365,3,243.93,19.675,18.69,7.271303604,9.781815515,0.933439835
Trial19_01,9FL3,247,3,262.62,313.205,50.585,4,282.465,19.845,30.74,6.983715628,10.44075811,0.921418348
Trial19_01,9FL3,247,4,313.205,363.96,50.755,3,334.08,20.875,29.88,5.656609488,9.000130419,0.998053668
Trial19_01,9FL3,247,5,363.96,407.605,43.645,3,384.78,20.82,22.825,11.42805196,16.14442621,0.964135873
Trial19_01,9FL3,247,6,407.605,443.005,35.4,3,426.76,19.155,16.245,6.829753654,9.904618129,0.92554162
Trial19_01,9FL3,247,7,443.005,488.055,45.05,4,463.705,20.7,24.35,10.45963325,13.68088539,0.860825121
Trial19_01,9FL3,247,8,488.055,536.575,48.52,4,507.755,19.7,28.82,11.35121875,14.53184296,0.855916546
Trial19_10,9FL3,247,1,175.21,211.2325,36.0225,3,197.47,22.26,13.7625,5.473637007,5.98141681,0.865889923
Trial19_10,9FL3,247,2,211.2325,255.2975,44.065,4,230.29,19.0575,25.0075,7.992241862,10.19950744,0.886860507
Trial19_10,9FL3,247,3,255.2975,302.11,46.8125,4,275.645,20.3475,26.465,6.387788306,9.227785495,0.888330554
Trial19_10,9FL3,247,4,302.11,350.35,48.24,4,322.495,20.385,27.855,8.708481882,12.25149556,0.8998743
